d1;d2;d3;d4;n
0.0710177;0.0486015;0.0549494;0.0523706;5041
0.0707947;0.0489055;0.0554131;0.0522579;5071
0.0705744;0.048814;0.0550872;0.0521466;5101
0.0703567;0.0489183;0.0551549;0.0520366;5131
0.0701414;0.0488277;0.0550281;0.0521217;5161
0.0699287;0.0489308;0.0550954;0.0522057;5191
0.0697184;0.0490328;0.0547788;0.0524804;5221
0.0698915;0.0495144;0.0544658;0.052371;5251
0.0696838;0.0492331;0.0545351;0.0532096;5281
0.0694784;0.0491433;0.0542271;0.0530973;5311
0.0696499;0.0492417;0.0541097;0.0529863;5341
0.0698194;0.0491529;0.0539937;0.0526904;5371
0.0696167;0.0488798;0.0536938;0.0525829;5401
0.0701528;0.0489781;0.0535813;0.0522924;5431
0.0699506;0.0488921;0.0532869;0.0521882;5461
0.0699326;0.0488071;0.0531779;0.0520852;5491
0.0695526;0.0485419;0.0532512;0.0521645;5521
0.0698973;0.0482796;0.0531436;0.052423;5551
0.0700591;0.0481992;0.0532163;0.0524996;5581
0.0698628;0.0479415;0.05311;0.0525753;5611
0.0694912;0.0482184;0.0530048;0.052473;5641
0.069829;0.048316;0.0527244;0.0525481;5671
0.0696369;0.0482372;0.0526223;0.0524469;5701
0.0696214;0.0481591;0.0525214;0.0525214;5731
0.069606;0.0480819;0.0522479;0.052595;5761
0.0699361;0.0478328;0.0521499;0.0528406;5791
0.070091;0.0479299;0.0522247;0.053599;5821
0.0699026;0.048026;0.0519569;0.053666;5851
0.069716;0.047951;0.0518619;0.0535623;5881
0.0698697;0.0478768;0.0517679;0.0534597;5911
0.0698536;0.0476351;0.0518431;0.053358;5941
0.0698375;0.0478982;0.0515826;0.0535924;5971
0.0696551;0.0476587;0.0516581;0.053991;6001
0.069806;0.0479191;0.0515669;0.0540541;6031
0.0696255;0.0478469;0.0514767;0.0542815;6061
0.0692825;0.0481038;0.0513873;0.0541783;6091
0.0691064;0.0481947;0.0512988;0.0544029;6121
0.0689319;0.0481223;0.0513738;0.0543001;6151
0.0690827;0.0482123;0.0512862;0.0545219;6181
0.068749;0.0481404;0.0513605;0.0545806;6211
0.068739;0.0482295;0.0514341;0.0544784;6241
0.0685696;0.0479987;0.0515069;0.0546962;6271
0.0684018;0.0477702;0.0517378;0.0544358;6301
0.0682357;0.0478597;0.0516506;0.0543358;6331
0.0679139;0.0477912;0.051407;0.054394;6361
0.0675951;0.0477234;0.0514786;0.0542951;6391
0.067435;0.0475004;0.0513939;0.0541972;6421
0.0672764;0.0475895;0.0514649;0.0544102;6451
0.0672736;0.0476778;0.0512267;0.0541583;6481
0.0674244;0.0476117;0.0514514;0.0539088;6511
0.0675738;0.0476991;0.0518269;0.0539673;6541
0.0672653;0.0476335;0.0517425;0.0537209;6571
0.067111;0.04772;0.0516588;0.0536282;6601
0.0674106;0.047655;0.0518775;0.0535364;6631
0.0674073;0.0475905;0.051794;0.0534454;6661
0.0672545;0.0475265;0.0518607;0.0533553;6691
0.0674007;0.0474632;0.051778;0.0537122;6721
0.0671012;0.0474004;0.0515479;0.0536217;6751
0.0670993;0.0476331;0.0517623;0.0538269;6781
0.0669505;0.0477169;0.0515343;0.0540302;6811
0.0668031;0.0478;0.0513083;0.0539395;6841
0.0665114;0.0475913;0.0513753;0.0539951;6871
0.0665121;0.0478192;0.0512969;0.0540501;6901
0.0663685;0.0479007;0.0510749;0.0541047;6931
0.0660825;0.0476943;0.0509984;0.0541589;6961
0.0657989;0.0477757;0.0512087;0.0540695;6991
0.0656602;0.0475716;0.0511323;0.0538385;7021
0.0656644;0.0477946;0.0509148;0.0537512;7051
0.0655275;0.0477334;0.0506991;0.053806;7081
0.0655323;0.0479539;0.0504852;0.0537196;7111
0.0656771;0.0480325;0.0504131;0.053914;7141
0.0654023;0.0482499;0.0503417;0.0538279;7171
0.0652687;0.0483266;0.0505485;0.0538814;7201
0.0651362;0.0482644;0.0504771;0.0539344;7231
0.0651425;0.0484782;0.0506817;0.0537116;7261
0.0651488;0.048553;0.0507475;0.0536278;7291
0.0650184;0.048354;0.0509493;0.053408;7321
0.0648891;0.0485648;0.0510135;0.0535982;7351
0.0650318;0.0486384;0.0509416;0.0536513;7381
0.0647686;0.0487114;0.0511402;0.053569;7411
0.0646418;0.0490525;0.0512028;0.0538906;7441
0.0643823;0.0488556;0.0512649;0.0538081;7471
0.0641248;0.0489268;0.0513265;0.0535929;7501
0.0640021;0.0489975;0.0513876;0.0533794;7531
0.0637482;0.0491998;0.0514482;0.0531676;7561
0.0637597;0.0491371;0.0513766;0.0529574;7591
0.0635087;0.0492061;0.0514368;0.052749;7621
0.0635211;0.0491439;0.0514965;0.0529343;7651
0.0634032;0.0490822;0.051686;0.0529879;7681
0.0632862;0.0488912;0.0514849;0.0531708;7711
0.0631701;0.0490893;0.0514145;0.0530939;7741
0.0633123;0.0490284;0.0517308;0.0531463;7771
0.0634534;0.0488399;0.0519164;0.0530701;7801
0.0632103;0.0487805;0.0518452;0.0531222;7831
0.0630963;0.048976;0.0519018;0.0531739;7861
0.0631099;0.0489165;0.0518312;0.0530985;7891
0.0629971;0.0487312;0.0516349;0.0530236;7921
0.0628852;0.0489247;0.0514401;0.0528235;7951
0.0632753;0.0489914;0.0512467;0.0530009;7981
0.0630383;0.0489327;0.0513045;0.0528024;8011
0.0630519;0.0491232;0.051113;0.0529785;8041
0.0629414;0.0493124;0.0512948;0.0530294;8071
0.0629552;0.0491297;0.0515986;0.0530799;8101
0.0628459;0.0490715;0.0515312;0.053007;8131
0.0628599;0.0490136;0.0517094;0.0530572;8161
0.0626297;0.0489562;0.0517641;0.052985;8191
0.0627661;0.0490208;0.0516969;0.0529133;8221
0.0626591;0.0492062;0.0515089;0.0528421;8251
0.0626736;0.0492694;0.0514431;0.0526506;8281
0.0625677;0.0494525;0.051498;0.0525809;8311
0.0629421;0.0492747;0.0515526;0.0526316;8341
0.0630749;0.0492175;0.0513678;0.0525624;8371
