d1;d2;d3;d4;n
0.00057463;0.00057463;0.000287315;0.000861945;6961
0.000572164;0.000572164;0.000286082;0.000858246;6991
0.000569719;0.000569719;0.00028486;0.000854579;7021
0.000567295;0.000567295;0.000283648;0.000850943;7051
0.000564892;0.000564892;0.000282446;0.000847338;7081
0.000562509;0.000562509;0.000281254;0.000843763;7111
0.000560146;0.000560146;0.000280073;0.000840218;7141
0.000557802;0.000557802;0.000278901;0.000836703;7171
0.000555478;0.000555478;0.000277739;0.000833218;7201
0.000553174;0.000553174;0.000276587;0.000829761;7231
0.000550888;0.000550888;0.000275444;0.000826332;7261
0.000548622;0.000548622;0.000274311;0.000822932;7291
0.000546373;0.000546373;0.000273187;0.00081956;7321
0.000544144;0.000544144;0.000272072;0.000816215;7351
0.000677415;0.000541932;0.000270966;0.000812898;7381
0.000674673;0.000539738;0.000269869;0.000809607;7411
0.000671953;0.000537562;0.000268781;0.000806343;7441
0.000669254;0.000535404;0.000267702;0.000803105;7471
0.000666578;0.000533262;0.000266631;0.000799893;7501
0.000663922;0.000531138;0.000265569;0.000796707;7531
0.000661288;0.000529031;0.000264515;0.000793546;7561
0.000658675;0.00052694;0.00026347;0.00079041;7591
0.000656082;0.000656082;0.000262433;0.000787298;7621
0.000653509;0.000653509;0.000261404;0.000784211;7651
0.000650957;0.000650957;0.000260383;0.000781148;7681
0.000648424;0.000648424;0.00025937;0.000778109;7711
0.000645911;0.000645911;0.000258365;0.000775094;7741
0.000643418;0.000643418;0.000257367;0.000772101;7771
0.000640943;0.000640943;0.000256377;0.000769132;7801
0.000638488;0.000638488;0.000255395;0.000766186;7831
0.000636051;0.000636051;0.000254421;0.000763262;7861
0.000633633;0.000633633;0.000253453;0.00076036;7891
0.000631233;0.000631233;0.000252493;0.00075748;7921
0.000628852;0.000628852;0.000251541;0.000754622;7951
0.000626488;0.000626488;0.000250595;0.000751785;7981
0.000624142;0.000624142;0.000249657;0.00074897;8011
0.000621813;0.000621813;0.000248725;0.000746176;8041
0.000619502;0.000619502;0.000247801;0.000743402;8071
0.000617208;0.000617208;0.000246883;0.000740649;8101
0.000614931;0.000614931;0.000245972;0.000737917;8131
0.00061267;0.00061267;0.000245068;0.000735204;8161
0.000610426;0.000610426;0.00024417;0.000732511;8191
0.000608199;0.000608199;0.000243279;0.000729838;8221
0.000605987;0.000605987;0.000242395;0.000727185;8251
0.000603792;0.000603792;0.000241517;0.00072455;8281
0.000601612;0.000601612;0.000240645;0.000721935;8311
0.000599449;0.000719338;0.000239779;0.000719338;8341
0.0005973;0.00071676;0.00023892;0.00071676;8371
0.000595167;0.000714201;0.000238067;0.000714201;8401
0.000593049;0.000711659;0.00023722;0.000711659;8431
0.000709136;0.000709136;0.000236379;0.000709136;8461
0.000706631;0.000706631;0.000235544;0.000706631;8491
0.000704143;0.000704143;0.000234714;0.000704143;8521
0.000701672;0.000701672;0.000233891;0.000701672;8551
0.000699219;0.000699219;0.000233073;0.000699219;8581
0.000696783;0.000696783;0.000232261;0.000696783;8611
0.000694364;0.000694364;0.000231455;0.000694364;8641
0.000691962;0.000691962;0.000230654;0.000691962;8671
0.000689576;0.000689576;0.000229859;0.000689576;8701
0.000687207;0.000687207;0.000229069;0.000687207;8731
0.000684853;0.000684853;0.000228284;0.000684853;8761
0.000682516;0.000682516;0.000227505;0.000682516;8791
0.000680195;0.000680195;0.000226732;0.000680195;8821
0.00067789;0.00067789;0.000225963;0.00067789;8851
0.0006756;0.0006756;0.0002252;0.0006756;8881
0.000673325;0.000673325;0.000224442;0.000673325;8911
0.000671066;0.000671066;0.000223689;0.000671066;8941
0.000668822;0.000668822;0.000222941;0.000668822;8971
0.000666593;0.000666593;0.000222198;0.000666593;9001
0.000664378;0.000664378;0.000221459;0.000664378;9031
0.000662179;0.000662179;0.000220726;0.000662179;9061
0.000659993;0.000659993;0.000219998;0.000659993;9091
0.000657823;0.000657823;0.000219274;0.000657823;9121
0.000655666;0.000655666;0.000218555;0.000655666;9151
0.000653524;0.000653524;0.000217841;0.000653524;9181
